username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
misaelnieto,4,0,2,"planet.plone.org, plone.i18n",2012-01-22,2012-07-01
bdbaddog,4,1,1,plone.app.discussion,2012-11-25,2012-12-09
vsomogyi,4,0,2,"plone.app.contentrules, plone.formwidget.recurrence",2012-05-06,2012-10-14
alecpm,4,0,1,buildout.coredev,2012-02-05,2012-07-08
agnogueira,4,2,2,"plone.app.layout, plonetheme.sunburst",2012-03-18,2012-03-25
radekj,4,1,1,plone.app.multilingual,2012-10-07,2012-10-07
naro,3,1,2,"plone.app.discussion, plone.dexterity",2012-01-22,2012-07-01
retsu,3,3,3,"plone.app.dexterity, plone.app.discussion, plone.dexterity",2012-05-13,2012-08-12
martior,3,0,1,planet.plone.org,2012-02-12,2012-06-24
calvinhp,3,0,3,"plone.app.blocks, plone.app.tiles, plone.tiles",2012-09-23,2012-09-23
jaroel,3,0,2,"buildout.coredev, plone.app.contenttypes",2012-01-29,2012-11-18
macagua,3,0,1,plone.api,2012-08-26,2012-08-26
jonstahl,3,0,2,"diazo, plone.api",2012-02-05,2012-02-26
parruc,3,1,1,plone.app.multilingual,2012-10-07,2012-10-14
hacklschorsch,3,1,1,plone.outputfilters,2012-09-23,2012-09-30
jakke,3,1,1,Products.Archetypes,2012-03-11,2012-07-08
glenfant,2,1,2,"planet.plone.org, plone.app.debugtoolbar",2012-04-08,2012-05-27
frederic-peters,2,0,1,plone.dexterity,2012-12-09,2012-12-09
hnet,2,0,1,plone.dexterity,2012-11-04,2012-11-04
bogdangi,2,0,1,plone.formwidget.querystring,2012-10-14,2012-10-14
terapyon,2,1,1,plone.app.search,2012-10-07,2012-10-07
wichert,2,0,1,planet.plone.org,2012-05-06,2012-05-06
zotya,2,0,1,plone.app.robotframework,2012-10-07,2012-10-07
href,2,1,1,plone.formwidget.datetime,2012-09-16,2012-09-23
simahawk,2,0,1,Products.CMFEditions,2012-11-04,2012-11-04
encolpe,2,1,2,"Products.CMFPlacefulWorkflow, buildout.coredev",2012-07-08,2012-10-14
rnd0101,2,1,2,"plone.app.discussion, plone.app.portlets",2012-05-20,2012-09-16
petri,1,1,1,plone.dexterity,2012-12-02,2012-12-02
davidblewett,1,0,1,Products.Archetypes,2012-09-16,2012-09-16
cguardia,1,1,1,Products.MimetypesRegistry,2012-07-08,2012-07-08
jribouxquadra,1,1,1,plone.namedfile,2012-11-18,2012-11-18
fschulze,1,0,1,plone.app.users,2012-10-14,2012-10-14
spanktar,1,0,1,plone.app.caching,2012-03-04,2012-03-04
msabramo,1,1,1,diazo,2012-06-03,2012-06-03
agitator,1,0,1,plonetheme.sunburst,2012-11-18,2012-11-18
rockfruit,1,1,1,collective.indexing,2012-04-15,2012-04-15
woutervh,1,0,1,plone.app.ldap,2012-01-01,2012-01-01
cedricmessiant,1,0,1,plone.app.dexterity,2012-12-09,2012-12-09
weberlar,1,2,2,"Products.PloneLanguageTool, plone.app.collection",2012-01-01,2012-01-01
miziodel,1,1,1,planet.plone.org,2012-10-28,2012-10-28
jeorgen,1,1,1,planet.plone.org,2012-09-23,2012-09-23
Fosten,1,1,1,planet.plone.org,2012-03-04,2012-03-04
lck,1,2,2,"buildout.coredev, plone.app.multilingual",2012-11-18,2012-11-18
pigeonflight,1,1,1,planet.plone.org,2012-12-16,2012-12-16
paulrentschler,1,0,1,plone.app.collection,2012-05-20,2012-05-20
tseaver,1,1,1,plone.app.controlpanel,2012-05-13,2012-05-13
joka,1,0,1,plone.formwidget.contenttree,2012-07-08,2012-07-08
mjtrac,1,1,1,plone.app.dexterity,2012-12-16,2012-12-16
l34marr,1,1,1,plone.app.discussion,2012-10-07,2012-10-07
tschorr,1,1,1,plone.app.textfield,2012-10-21,2012-10-21
lukasgraf,1,0,1,plone.app.versioningbehavior,2012-05-13,2012-05-13
mikerhodes,1,1,1,plone.app.versioningbehavior,2012-09-02,2012-09-02
dnouri,1,1,1,plone.intelligenttext,2012-02-05,2012-02-05
reebalazs,1,2,2,"Products.CMFPlone, planet.plone.org",2012-11-11,2012-11-11
fafhrd91,1,1,1,plone.portlet.static,2012-03-25,2012-03-25
huubbouma,1,1,1,plone.app.discussion,2012-04-08,2012-04-08
yurj,1,1,1,plone.outputfilters,2012-05-20,2012-05-20
127001,1,1,1,plone.app.portlets,2012-07-08,2012-07-08
sunew,1,2,2,"plone.app.portlets, plone.recipe.zope2instance",2012-07-22,2012-07-22
maikroeder,1,0,1,plone.batching,2012-11-11,2012-11-11
ale-rt,0,1,1,plone.app.layout,,
rristow,0,2,1,Products.Archetypes,,
j-craig,0,1,1,plone.app.layout,,
svx,0,1,1,Installers-UnifiedInstaller,,
ghost,0,2,1,plone.app.layout,,
nrb,0,1,1,Products.CMFPlone,,
RohitKumar13,0,1,1,plone.recipe.zeoserver,,
tschanzt,0,1,1,plone.formwidget.namedfile,,
janbranbergen,0,1,1,plone.app.theming,,
gmiche,0,1,1,buildout.coredev,,
ggozad,0,1,1,planet.plone.org,,
sdelcourt,0,1,1,archetypes.referencebrowserwidget,,
enko,0,1,1,plone.formwidget.contenttree,,
sjoerdvan,0,1,1,plone.app.layout,,
ddellaquila,0,2,2,"planet.plone.org, plone.portlet.collection",,
stonor,0,1,1,plone.app.discussion,,
cryu,0,4,2,"plone.app.collection, plone.app.querystring",,
tkimnguyen,0,9,2,"Products.CMFPlone, plone.app.workflowmanager",,
gaudenz,0,7,5,"plone.app.contentlisting, plone.app.debugtoolbar, plone.app.discussion, plone.app.upgrade, plone.recipe.zeoserver",,
zombified,0,5,4,"Products.CMFPlone, Products.PlonePAS, Products.PloneTestCase, plone.outputfilters",,
afrepues,0,1,1,Products.CMFEditions,,
ivanteoh,0,1,1,Products.CMFEditions,,
spereverde,0,3,2,"Products.CMFPlone, plone.portlet.collection",,
enfold-josh,0,1,1,Products.PortalTransforms,,
