number,title,author,state,created_at,updated_at,closed_at,repository,html_url
1310,PLIP: A direct link from a group name on Sharing tab to that group's member list,rioksane,closed,2016-01-08,2016-04-04,2016-04-04,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1310
1277,PLIP: Meta bundles generation,ebrehault,closed,2015-12-03,2016-04-05,2016-02-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1277
1276,let bin/instance accept a PORT argument,thet,closed,2015-12-02,2016-09-23,2016-09-23,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1276
1263,PLIP: Handle Portraits using PAS and PropertySheets only,jensens,closed,2015-11-25,2025-09-13,2019-06-20,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1263
1253,control panel for creation/editing/management of portal_actions,tkimnguyen,closed,2015-11-22,2016-02-02,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1253
1248,create /recently_modified portal_action/site_actions,tkimnguyen,closed,2015-11-18,2016-09-29,2016-09-23,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1248
1198,RFC: Allow merging CHANGES.rst with union strategy in all core packages,mauritsvanrees,closed,2015-10-19,2015-10-27,2015-10-24,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1198
1180,PLIP: new changelog format,gforcada,closed,2015-10-16,2015-10-31,2015-10-31,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1180
1179,PLIP: CONTRIBUTING.rst on all repositories,gforcada,closed,2015-10-16,2015-11-14,2015-11-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1179
818,restore undo functionality,tkimnguyen,closed,2015-08-10,2016-04-22,2016-04-18,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/818
698,Linkintegrity in Plone 5 ,bloodbare,closed,2015-07-16,2015-10-17,2015-08-25,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/698
680,PLIP: REST API,bloodbare,closed,2015-07-15,2017-11-14,2017-11-14,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/680
649,PLIP 13350: Define extra member properties TTW,tisto,closed,2015-06-24,2015-10-17,2015-07-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/649
646,PLIP Enhance Contentlisting,thet,closed,2015-06-23,2015-10-17,2015-07-08,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/646
637,Return HTTP errors in proper format,ebrehault,closed,2015-06-17,2016-02-29,2016-02-29,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/637
633,PLIP: Be able to require SSL,tkimnguyen,closed,2015-06-16,2021-11-22,2021-11-22,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/633
590,Refactor control panel base view/template from plone.app.registry into P.CMFPlone,tisto,closed,2015-05-31,2016-02-02,2016-02-02,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/590
517,plip 20239 Dexterity API,jensens,closed,2015-05-13,2024-07-01,2024-06-29,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/517
516,User schema page template,ebrehault,closed,2015-05-12,2015-10-17,2015-06-01,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/516
515,Remove image from user profile,ebrehault,closed,2015-05-12,2015-10-17,2015-07-16,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/515
